name,red_cards
Bartlomiej Dragowski,2
Hugo Basto,2
Wendell,3
Jesús Vallejo,3
Riccieli,2
Thomas Mangani,3
Vangelis Ikonomou,2
Tiemoué Bakayoko,2
Ramy Bensebaini,3
Adam Ounas,2
Heung-min Son,4
Victorien Angban,3
Leo Goglichidze,2
Selim Amallah,2
Yuriy Romanyuk,2
Leonardo Balerdi,3
Jean Onana,2
Ilya Zabarnyi,2
Zaydou Youssouf,2
Saso Fornezzi,2
Nicolas Pallois,4
Richarlison,2
Adam Masina,3
Sébastien Corchia,3
Amilton,2
Lorenzo Insigne,2
Mário Rui,2
Abdelaziz Barrada,2
Jean-Charles Castelletto,2
Hirving Lozano,3
Ruud Boffin,2
Fábio,3
Roberto Pereyra,2
Luiz Adriano,3
Emre Can,2
Yves Bissouma,2
Fedor Kudryashov,3
Florian Thauvin,2
Nehuén Pérez,2
